Typ;Name;Latitude;Longitude;Tempolimit;Details;Type
Routenpunkt (Way);Bartningstraße;49.8953447;8.6812627;;Original OSM;T
Routenpunkt (Way);Bartningstraße;49.89527735;8.6812805;;Interpoliert;T
Routenpunkt (Way);Kranichsteiner Straße;49.89521;8.6812983;50.0;Original OSM;T
Routenpunkt (Way);Bartningstraße;49.89521;8.6812983;;Original OSM;T
Routenpunkt (Way);Kranichsteiner Straße;49.8952322;8.6814661;50.0;Original OSM;T
Routenpunkt (Way);Kranichsteiner Straße;49.8952421;8.6815311;50.0;Original OSM;T
Routenpunkt (Way);Kranichsteiner Straße;49.895267659090905;8.681729131818182;50.0;Interpoliert;T
Routenpunkt (Way);Kranichsteiner Straße;49.89529321818181;8.681927163636365;50.0;Interpoliert;T
Routenpunkt (Way);Kranichsteiner Straße;49.89531877727273;8.682125195454546;50.0;Interpoliert;T
Routenpunkt (Way);Kranichsteiner Straße;49.89534433636364;8.682323227272727;50.0;Interpoliert;T
Routenpunkt (Way);Kranichsteiner Straße;49.89536989545454;8.68252125909091;50.0;Interpoliert;T
Routenpunkt (Way);Kranichsteiner Straße;49.89539545454545;8.682719290909091;50.0;Interpoliert;T
Routenpunkt (Way);Kranichsteiner Straße;49.895421013636366;8.682917322727274;50.0;Interpoliert;T
