Geschwindigkeit (km/h);Physikalisches Maximum (Leer, unlimitiert) (m/s²);Physikalisches Maximum (Voll, unlimitiert) (m/s²);Durchschnittliche Auslastung (37%) & 80 % Volllast (m/s²);Nachtverkehr (10%) & 80 % Volllast (m/s²);Hauptverkehrszeit (100%) & 80 % Volllast (m/s²)
24,0;2,9872562178979103;2,0755195967607714;1,2;1,2;1,2
24,1;2,9736913971325225;2,0659938183163877;1,2;1,2;1,2
24,200000000000003;2,9601263783351284;2,0564679008057354;1,2;1,2;1,2
24,3;2,947087483273995;2,0473114491533217;1,2;1,2;1,2
24,400000000000002;2,934913414887665;2,038762314577887;1,2;1,2;1,2
24,5;2,9227391484693297;2,0302130409361836;1,2;1,2;1,2
24,6;2,910564684018988;2,021663628228211;1,2;1,2;1,2
24,700000000000003;2,8983900215366374;2,0131140764539674;1,2;1,2;1,2
24,8;2,886215161022283;2,004564385613456;1,2;1,2;1,2
24,900000000000002;2,874040102475921;1,9960145557066746;1,2;1,2;1,2
25,0;2,8625632936775602;1,9879550656660325;1,2;1,2;1,2
25,1;2,8515376539364223;1,9802124052064372;1,2;1,2;1,2
25,200000000000003;2,840511816163277;1,9724696056805717;1,2;1,2;1,2
25,3;2,829485780358128;1,9647266670884382;1,2;1,2;1,2
25,400000000000002;2,8184595465209705;1,9569835894300343;1,2;1,2;1,2
25,5;2,807433114651808;1,949240372705362;1,2;1,2;1,2
25,6;2,796406484750638;1,9414970169144197;1,2;1,2;1,2
25,700000000000003;2,7847301236548025;1,9332973929931545;1,2;1,2;1,2
25,8;2,77292670605542;1,925008544737588;1,2;1,2;1,2
25,900000000000002;2,761123090424031;1,9167195574157525;1,2;1,2;1,2
26,0;2,7493192767606356;1,9084304310276472;1,2;1,2;1,2
26,1;2,737515265065234;1,900141165573273;1,2;1,2;1,2
26,200000000000003;2,7257110553378254;1,891851761052629;1,2;1,2;1,2
26,3;2,7140559159493947;1,8836670398924429;1,2;1,2;1,2
26,400000000000002;2,704520984799716;1,8769712166902637;1,2;1,2;1,2
26,5;2,6949858556180324;1,8702752544218157;1,2;1,2;1,2
26,6;2,685450528404341;1,863579153087098;1,2;1,2;1,2
26,700000000000003;2,6759150031586447;1,8568829126861113;1,2;1,2;1,2
26,8;2,666379279880941;1,850186533218855;1,2;1,2;1,2
26,900000000000002;2,6568433585712317;1,8434900146853297;1,2;1,2;1,2
27,0;2,64709860406771;1,8366468448417361;1,2;1,2;1,2
27,1;2,636854875685262;1,8294532748931651;1,2;1,2;1,2
27,200000000000003;2,626610949270808;1,8222595658783252;1,2;1,2;1,2
27,3;2,6163668248243477;1,815065717797216;1,2;1,2;1,2
27,400000000000002;2,6061225023458796;1,807871730649837;1,2;1,2;1,2
27,5;2,595877981835407;1,8006776044361892;1,2;1,2;1,2
27,6;2,585633263292926;1,7934833391562714;1,2;1,2;1,2
27,700000000000003;2,5757554352098238;1,7865467195386031;1,2;1,2;1,2
27,8;2,5662107519900053;1,7798440480292377;1,2;1,2;1,2
27,900000000000002;2,556665870738179;1,7731412374536015;1,2;1,2;1,2
28,0;2,547120791454348;1,7664382878116975;1,2;1,2;1,2
28,1;2,537575514138509;1,759735199103523;1,2;1,2;1,2
28,200000000000003;2,5280300387906642;1,7530319713290798;1,2;1,2;1,2
28,3;2,518484365410814;1,7463286044883672;1,2;1,2;1,2
28,400000000000002;2,5098365550662294;1,740255754223972;1,2;1,2;1,2
28,5;2,5014827331479847;1,7343893547975908;1,2;1,2;1,2
28,6;2,493128713197733;1,7285228163049402;1,2;1,2;1,2
28,700000000000003;2,484774495215476;1,7226561387460204;1,2;1,2;1,2
28,8;2,4764200792012114;1,7167893221208312;1,2;1,2;1,2
28,900000000000002;2,468065465154941;1,7109223664293725;1,2;1,2;1,2
29,0;2,459710653076664;1,7050552716716447;1,2;1,2;1,2
29,1;2,4503181822186404;1,6984594899811736;1,2;1,2;1,2
29,200000000000003;2,4409069396749987;1,6918505260363028;1,2;1,2;1,2
29,3;2,431495499099351;1,6852414230251627;1,2;1,2;1,2
29,400000000000002;2,4220838604916968;1,678632180947753;1,2;1,2;1,2
