Geschwindigkeit (km/h);Physikalisches Maximum (Leer, unlimitiert) (m/s²);Physikalisches Maximum (Voll, unlimitiert) (m/s²);Durchschnittliche Auslastung (37%) (m/s²);Nachtverkehr (10%) (m/s²);Nebenverkehr (50%) (m/s²);Hauptverkehrszeit (100%) (m/s²)
17,1;2,876081778611576;2,064605003779107;1,2;1,2;1,2;1,2
17,2;2,8742919611115783;2,0633073860916085;1,2;1,2;1,2;1,2
17,3;2,8725018654790424;2,0620095667580194;1,2;1,2;1,2;1,2
17,400000000000002;2,8707114917139664;2,0607115457783403;1,2;1,2;1,2;1,2
17,5;2,8677708424874004;2,0585795750890794;1,2;1,2;1,2;1,2
17,6;2,8527110157173623;2,047661200680802;1,2;1,2;1,2;1,2
17,7;2,8376509108147876;2,0367426246264353;1,2;1,2;1,2;1,2
17,8;2,8225905277796732;2,0258238469259777;1,2;1,2;1,2;1,2
17,900000000000002;2,8075298666120205;2,014904867579429;1,2;1,2;1,2;1,2
18,0;2,79246892731183;2,003985686586791;1,2;1,2;1,2;1,2
18,1;2,7774077098790992;1,9930663039480614;1,2;1,2;1,2;1,2
18,2;2,762382901870779;1,9821733181420287;1,2;1,2;1,2;1,2
18,3;2,7474372905239557;1,971337749915582;1,2;1,2;1,2;1,2
18,400000000000002;2,732491401044593;1,9605019800430445;1,2;1,2;1,2;1,2
18,5;2,717545233432694;1,9496660085244175;1,2;1,2;1,2;1,2
18,6;2,702598787688255;1,9388298353596993;1,2;1,2;1,2;1,2
18,7;2,687652063811277;1,9279934605488902;1,2;1,2;1,2;1,2
18,8;2,6727050618017607;1,9171568840919908;1,2;1,2;1,2;1,2
18,900000000000002;2,658084771249517;1,906557173441614;1,2;1,2;1,2;1,2
19,0;2,64373720336224;1,8961551867233384;1,2;1,2;1,2;1,2
19,1;2,6293893573424247;1,8857529983589723;1,2;1,2;1,2;1,2
19,200000000000003;2,61504123319007;1,8753506083485152;1,2;1,2;1,2;1,2
19,3;2,6006928309051767;1,8649480166919674;1,2;1,2;1,2;1,2
19,400000000000002;2,586344150487746;1,8545452233893298;1,2;1,2;1,2;1,2
19,5;2,5719951919377753;1,8441422284406013;1,2;1,2;1,2;1,2
19,6;2,558787336706424;1,8345665333978718;1,2;1,2;1,2;1,2
19,700000000000003;2,5459121839653043;1,8252320476605597;1,2;1,2;1,2;1,2
19,8;2,5330367530916464;1,8158973602771582;1,2;1,2;1,2;1,2
19,900000000000002;2,5201610440854485;1,8065624712476644;1,2;1,2;1,2;1,2
20,0;2,5072850569467144;1,7972273805720822;1,2;1,2;1,2;1,2
20,1;2,4944087916754394;1,7878920882504077;1,2;1,2;1,2;1,2
20,200000000000003;2,481532864792381;1,77855704126019;1,2;1,2;1,2;1,2
20,3;2,4688420720288784;1,769356216506651;1,2;1,2;1,2;1,2
20,400000000000002;2,456151001132839;1,7601551901070225;1,2;1,2;1,2;1,2
20,5;2,4434596521042597;1,7509539620613026;1,2;1,2;1,2;1,2
20,6;2,4307680249431427;1,741752532369493;1,2;1,2;1,2;1,2
20,700000000000003;2,418076119649486;1,7325509010315918;1,2;1,2;1,2;1,2
20,8;2,405383936223292;1,7233490680476007;1,2;1,2;1,2;1,2
20,900000000000002;2,393061511454692;1,7144153100903659;1,2;1,2;1,2;1,2
21,0;2,3819604957031446;1,7063670736704943;1,2;1,2;1,2;1,2
21,1;2,3708592018190577;1,698318635604531;1,2;1,2;1,2;1,2
21,200000000000003;2,3597576298024325;1,6902699958924778;1,2;1,2;1,2;1,2
21,3;2,348655779653269;1,6822211545343342;1,2;1,2;1,2;1,2
21,400000000000002;2,3375536513715667;1,6741721115301;1,2;1,2;1,2;1,2
21,5;2,3264512449573265;1,6661228668797758;1,2;1,2;1,2;1,2
21,6;2,3156052128601745;1,6582594936093409;1,2;1,2;1,2;1,2
21,700000000000003;2,3050582119724257;1,650612917965723;1,2;1,2;1,2;1,2
21,8;2,2945109329521394;1,642966140676015;1,2;1,2;1,2;1,2
21,900000000000002;2,2839633757993134;1,6353191617402165;1,2;1,2;1,2;1,2
22,0;2,2734155405139487;1,6276719811583271;1,2;1,2;1,2;1,2
22,1;2,2628674270960456;1,6200245989303474;1,2;1,2;1,2;1,2
22,200000000000003;2,2523190355456038;1,612377015056277;1,2;1,2;1,2;1,2
22,3;2,2417997652325;1,6047505440792766;1,2;1,2;1,2;1,2
22,400000000000002;2,2312933759662017;1,5971334118612106;1,2;1,2;1,2;1,2
22,5;2,2207867085673643;1,5895160779970534;1,2;1,2;1,2;1,2
22,6;2,2102797630359876;1,5818985424868055;1,2;1,2;1,2;1,2
22,700000000000003;2,1997725393720717;1,5742808053304664;1,2;1,2;1,2;1,2
22,8;2,1892650375756193;1,5666628665280382;1,2;1,2;1,2;1,2
22,900000000000002;2,1787572576466268;1,5590447260795186;1,2;1,2;1,2;1,2
23,0;2,1688486134879037;1,5518609590644443;1,2;1,2;1,2;1,2
23,1;2,15899184276899;1,5447148002932323;1,2;1,2;1,2;1,2
23,200000000000003;2,149134793917538;1,5375684398759295;1,2;1,2;1,2;1,2
23,3;2,139277466933548;1,530421877812537;1,2;1,2;1,2;1,2
23,400000000000002;2,12941986181702;1,5232751141030538;1,2;1,2;1,2;1,2
23,5;2,1195619785679516;1,5161281487474794;1,2;1,2;1,2;1,2
23,6;2,1097486024071843;1,509013451030923;1,2;1,2;1,2;1,2
23,700000000000003;2,100190491055181;1,5020838203007203;1,2;1,2;1,2;1,2
23,8;2,090632101570639;1,4951539879244273;1,2;1,2;1,2;1,196123190339542
23,900000000000002;2,081073433953558;1,4882239539020437;1,2;1,2;1,2;1,190579163121635
24,0;2,0715144882039387;1,4812937182335697;1,2;1,2;1,2;1,1850349745868558
24,1;2,0619552643217802;1,4743632809190048;1,2;1,2;1,2;1,179490624735204
24,200000000000003;2,0523957623070834;1,4674326419583497;1,2;1,2;1,2;1,1739461135666798
24,3;2,0432055870843566;1,4607697649218725;1,2;1,2;1,2;1,168615811937498
24,400000000000002;2,0346225898723387;1,4545470919431598;1,2;1,2;1,2;1,163637673554528
24,5;2,0260393145277833;1,448324217318357;1,2;1,2;1,2;1,1586593738546858
24,6;2,0174557610506887;1,4421011410474633;1,2;1,2;1,2;1,1536809128379708
24,700000000000003;2,008871929441054;1,4358778631304785;1,2;1,2;1,2;1,1487022905043829
24,8;2,0002878196988823;1,429654383567404;1,2;1,2;1,2;1,1437235068539233
24,900000000000002;1,9917034318241715;1,4234307023582387;1,2;1,2;1,2;1,138744561886591
25,0;1,9836092447493303;1,4175624167289789;1,2;1,2;1,2;1,134049933383183
25,1;1,9758317481892664;1,4119237317229325;1,2;1,2;1,2;1,129538985378346
25,200000000000003;1,9680539734966633;1,4062848450707952;1,2;1,2;1,2;1,1250278760566361
25,3;1,9602759206715232;1,4006457567725685;1,2;1,2;1,2;1,1205166054180549
25,400000000000002;1,952497589713843;1,3950064668282505;1,2;1,2;1,2;1,1160051734626004
25,5;1,9447189806236251;1,3893669752378426;1,2;1,2;1,2;1,111493580190274
25,6;1,9369400934008678;1,3837272820013433;1,2;1,2;1,2;1,1069818256010746
25,700000000000003;1,9287047989815183;1,3777566935473151;1,2;1,2;1,2;1,102205354837852
25,8;1,9203801411615984;1,3717213166278732;1,2;1,2;1,2;1,0973770533022986
25,900000000000002;1,9120552052091395;1,3656857380623406;1,2;1,2;1,2;1,0925485904498726
26,0;1,903729991124142;1,3596499578507173;1,2;1,2;1,2;1,0877199662805739
26,1;1,8954044989066063;1,353613975993004;1,2;1,2;1,2;1,0828911807944033
26,200000000000003;1,8870787285565316;1,3475777924891998;1,2;1,2;1,2;1,07806223399136
26,3;1,8788575025006449;1,3416174035986819;1,2;1,2;1,2;1,0732939228789455
26,400000000000002;1,8721250353364962;1,336736364904674;1,2;1,2;1,2;1,0693890919237392
26,5;1,8653922900398092;1,331855124564576;1,2;1,2;1,2;1,0654840996516608
26,6;1,858659266610583;1,326973682578387;1,2;1,2;1,2;1,0615789460627096
26,700000000000003;1,851925965048819;1,322092038946108;1,2;1,2;1,2;1,0576736311568864
26,8;1,8451923853545156;1,317210193667738;1,2;1,2;1,2;1,0537681549341904
26,900000000000002;1,8384585275276741;1,312328146743278;1,2;1,2;1,2;1,0498625173946223
27,0;1,8315778793244946;1,3073396767959728;1,2;1,2;1,2;1,0458717414367784
27,1;1,8243466919500688;1,3020970659495141;1,2;1,2;1,2;1,0416776527596114
27,200000000000003;1,8171152264431045;1,2968542534569651;1,2;1,2;1,2;1,0374834027655722
27,3;1,809883482803602;1,2916112393183257;1,2;1,2;1,2;1,0332889914546606
27,400000000000002;1,8026514610315596;1,286368023533595;1,2;1,2;1,2;1,029094418826876
27,5;1,7954191611269799;1,2811246061027746;1,2;1,2;1,197821912078764;1,0248996848822196
27,6;1,78818658308986;1,275880987025863;1,2;1,2;1,19295826539873;1,0207047896206904
27,700000000000003;1,781211511648721;1,270824060231037;1,2;1,2;1,1882677825745436;1,0166592481848296
27,8;1,774470249249615;1,2659366449916851;1,2;1,2;1,1837345278597826;1,012749315993348
27,900000000000002;1,7677287087179696;1,261049028106242;1,2;1,2;1,1792010861109659;1,0088392224849938
28,0;1,7609868900537862;1,2561612095747092;1,2;1,2;1,1746674573280946;1,0049289676597675
28,1;1,7542447932570637;1,2512731893970852;1,2;1,2;1,1701336415111683;1,0010185515176682
28,200000000000003;1,7475024183278025;1,2463849675733711;1,2;1,2;1,165599638660187;0,997107974058697
28,3;1,7407597652660034;1,2414965441035666;1,2;1,2;1,1610654487751508;0,9931972352828533
28,400000000000002;1,7346474897142516;1,2370651443285468;1,2;1,2;1,156955164925857;0,9896521154628375
28,5;1,728741525934245;1,2327833205880416;1,2;1,2;1,1529836182679973;0,9862266564704334
28,6;1,722835284021699;1,228501295201446;1,2;1,2;1,1490118845760826;0,9828010361611569
28,700000000000003;1,716928763976615;1,2242190681687601;1,1971389350287367;1,2;1,145039963850113;0,9793752545350082
28,8;1,711021965798992;1,2199366394899835;1,192995066939204;1,2;1,1410678560900882;0,9759493115919868
28,900000000000002;1,7051148894888302;1,2156540091651162;1,1888510037279625;1,2;1,1370955612960083;0,9725232073320931
29,0;1,6992075350461302;1,2113711771941589;1,184706745395013;1,2;1,1331230794678742;0,9690969417553271
29,1;1,6925713546044174;1,206559946373917;1,1800511848795086;1,2;1,1286604885621425;0,9652479570991336
29,200000000000003;1,6859218528420357;1,2017390575961902;1,175386278895618;1,2;1,1241889395509177;0,9613912460769521
29,3;1,6792720729471151;1,1969179671723729;1,170721177790019;1,2;1,1197172035056377;0,9575343737378983
29,400000000000002;1,672622014919656;1,1920966751024649;1,1660558815627116;1,2;1,1152452804263029;0,9536773400819719
29,5;1,6659716787596586;1,1872751813864668;1,1613903902136964;1,2;1,1107731703129133;0,9498201451091735
29,6;1,659321064467122;1,1824534860243776;1,156724703742972;1,2;1,1063008731654684;0,9459627888195021
29,700000000000003;1,652910502975709;1,1778058289431033;1,152227424438443;1,2;1,1019900028292138;0,9422446631544826
29,8;1,6473952554634563;1,1738072744967203;1,148358245657546;1,2;1,0982811987050325;0,9390458195973763
29,900000000000002;1,6418797298186654;1,1698085184042468;1,1444888717549409;1,2;1,094572207546796;0,9358468147233975
30,0;1,6363639260413352;1,1658095606656824;1,140619302730627;1,2;1,0908630293545045;0,932647648532546
30,1;1,630847844131467;1,161810401281028;1,1367495385846051;1,2;1,0871536641281585;0,9294483210248224
30,200000000000003;1,6253314840890596;1,1578110402502826;1,1328795793168744;1,2;1,083444111867757;0,9262488322002261
30,3;1,6198148459141142;1,1538114775734472;1,129009424927436;1,2;1,0797343725733008;0,9230491820587577
30,400000000000002;1,614613748854558;1,150040682205269;1,125360635940992;1,2;1,076236823246295;0,9200325457642151
30,5;1,6098131290463813;1,1465602328443407;1,1219927986398217;1,2;1,0730085803607963;0,9172481862754727
30,6;1,6050122311056643;1,143079581837321;1,118624766216942;1,2;1,0697801504412419;0,9144636654698568
30,700000000000003;1,6002110550324098;1,1395987291842113;1,1152565386723547;1,2;1,066551533487633;0,9116789833473691
30,8;1,5954096008266168;1,1361176748850115;1,1118881160060587;1,2;1,0633227294999692;0,9088941399080093
30,900000000000002;1,5906078684882843;1,1326364189397204;1,1085194982180542;1,2;1,06009373847825;0,9061091351517764
31,0;1,5858058580174135;1,129154961348339;1,1051506853083415;1,2;1,0568645604224758;0,9033239690786712
31,1;1,580896001388879;1,1255953152926514;1,1017062137697264;1,2;1,0535628597331428;0,9004762522341212
31,200000000000003;1,5759328604335805;1,1219970381000601;1,0982243610281806;1,2;1,050225327264652;0,8975976304800481
31,3;1,5709694413457436;1,1183985592613785;1,0947423131649263;1,2;1,0468876077621068;0,8947188474091029
31,400000000000002;1,5660057441253672;1,1147998787766054;1,091260070179963;1,2;1,0435497012255057;0,8918399030212844
31,5;1,5610417687724532;1,1112009966457428;1,0877776320732921;1,2;1,0402116076548507;0,8889607973165943
31,6;1,556077515287;1,1076019128687893;1,0842949988449124;1,1971835428695243;1,0368733270501398;0,8860815302950314
31,700000000000003;1,5511129836690083;1,1040026274457453;1,0808121704948248;1,1933570600277503;1,0335348594113747;0,8832021019565963
31,8;1,545410073338611;1,0998680174562072;1,076811338330772;1,1889614613677764;1,0296998588413684;0,8798944139649658
31,900000000000002;1,5396240138270163;1,095673124310301;1,0727521735086072;1,184501774302361;1,0258089434596582;0,8765384994482409
32,0;1,533837676182882;1,0914780295183037;1,0686928135647331;1,1800418728623638;1,0219178410438925;0,873182423614643
32,1;1,5280510604062105;1,0872827330802168;1,0646332584991516;1,1755817570477862;1,018026551594073;0,8698261864641735
32,2;1,5222641664969987;1,0830872349960383;1,0605735083118606;1,1711214268586265;1,0141350751101972;0,8664697879968307
