Typ;Name;Latitude;Longitude;Tempolimit;Details;Type
Routenpunkt (Way);Heidenreichstraße;49.8690085;8.6719987;;Original OSM;T
Routenpunkt (Way);Heidenreichstraße;49.8690249;8.6720036;;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.8689834;8.671989;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.8690007;8.67186785;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.869018;8.6717467;30.0;Original OSM;T
Haltestelle;Heidenreichstraße;49.86902825;8.6716421;30.0;Interpoliert;W
Routenpunkt (Way);Roßdörfer Straße;49.8690385;8.6715375;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.86905085;8.6714084;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.8690632;8.6712793;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.8690751;8.6711485;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.8690943;8.670960399999998;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.8691135;8.6707723;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.8691242;8.670663699999999;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.8691349;8.6705551;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.8691482;8.67042035;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.8691615;8.6702856;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.86918356666666;8.670088933333334;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.86920563333334;8.669892266666666;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.8692277;8.6696956;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.8692277;8.6696956;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.8692463;8.6695163;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.8692612;8.669373;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.8692612;8.669373;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.86927953333333;8.669196133333333;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.86929786666666;8.669019266666668;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.8693162;8.6688424;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.86933195;8.668690600000001;30.0;Interpoliert;T
Routenpunkt (Way);Roßdörfer Straße;49.8693477;8.6685388;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.8693606;8.6684148;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.8693606;8.6684148;30.0;Original OSM;T
Routenpunkt (Way);Beckstraße;49.8694113;8.6682921;;Original OSM;T
Routenpunkt (Way);Beckstraße;49.8694113;8.6682921;;Original OSM;T
Routenpunkt (Way);Beckstraße;49.8694339;8.6682973;;Original OSM;T
Haltestelle;Beckstraße;49.86937475;8.66827845;30.0;Interpoliert;W
Routenpunkt (Way);Roßdörfer Straße;49.8693889;8.6681421;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.8693924;8.6681085;30.0;Original OSM;T
Routenpunkt (Way);Beckstraße;49.869425250000006;8.66814735;;Interpoliert;T
Routenpunkt (Way);Beckstraße;49.8694523;8.6681069;;Original OSM;T
Routenpunkt (Way);Beckstraße;49.8694619;8.6680079;;Original OSM;T
Routenpunkt (Way);Beckstraße;49.8694392;8.6680026;;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.8694077;8.6679608;30.0;Interpoliert;T
Routenpunkt (Way);Beckstraße;49.869423;8.6678131;30.0;Original OSM;T
Routenpunkt (Way);Roßdörfer Straße;49.869423;8.6678131;30.0;Original OSM;T
Routenpunkt (Way);Beckstraße;49.8693885;8.6678084;30.0;Original OSM;T
Routenpunkt (Way);Beckstraße;49.8692661;8.667791733333333;30.0;Interpoliert;T
Routenpunkt (Way);Beckstraße;49.8691437;8.667775066666668;30.0;Interpoliert;T
Routenpunkt (Way);Beckstraße;49.8690213;8.6677584;30.0;Interpoliert;T
Routenpunkt (Way);Beckstraße;49.8688989;8.667741733333333;30.0;Interpoliert;T
Routenpunkt (Way);Beckstraße;49.8687765;8.667725066666668;30.0;Interpoliert;T
Routenpunkt (Way);Kiesstraße;49.8686541;8.6677084;30.0;Original OSM;T
Routenpunkt (Way);Beckstraße;49.8686541;8.6677084;30.0;Original OSM;T
Routenpunkt (Way);Kiesstraße;49.868651575;8.667518675;30.0;Interpoliert;T
Routenpunkt (Way);Kiesstraße;49.86864905;8.66732895;30.0;Interpoliert;T
Routenpunkt (Way);Kiesstraße;49.868646525;8.667139225;30.0;Interpoliert;T
Routenpunkt (Way);Kiesstraße;49.868644;8.6669495;30.0;Original OSM;T
Routenpunkt (Way);Kiesstraße;49.8686431;8.6668609;30.0;Original OSM;T
Routenpunkt (Way);Kiesstraße;49.8686411;8.6666634;30.0;Interpoliert;T
Routenpunkt (Way);Kiesstraße;49.8686391;8.666465899999999;30.0;Interpoliert;T
Routenpunkt (Way);Kiesstraße;49.8686371;8.6662684;30.0;Interpoliert;T
Routenpunkt (Way);Kiesstraße;49.8686351;8.6660709;30.0;Original OSM;T
Routenpunkt (Way);Kiesstraße;49.86863364;8.665887719999999;30.0;Interpoliert;T
Routenpunkt (Way);Kiesstraße;49.86863218;8.66570454;30.0;Interpoliert;T
Routenpunkt (Way);Kiesstraße;49.86863072;8.66552136;30.0;Interpoliert;T
Routenpunkt (Way);Kiesstraße;49.86862926;8.665338180000001;30.0;Interpoliert;T
Routenpunkt (Way);Kiesstraße;49.8686278;8.665155;30.0;Original OSM;T
